Completion %,Critic Rating,Format,My Rating,Date Finished,Hours Played,Release Date,Date Started,HLTB Complete,HLTB Extras,HLTB Story,Banner URL,Developer,Platform,Poster URL,Publisher,Review,Status,Summary,Title
0,87,0,0,,0.0,2019-04-30,,103.89361111111111,62.066944444444445,40.56527777777778,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/vut5ddhxfdgv18vao4ek.png,Virtuos,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2g6o.png,Square Enix,,Backlog,"""FINAL FANTASY XII THE ZODIAC AGE improves upon the 2006 classic FINAL FANTASY XII, now more beautiful and easier to play than ever. The high-definition remaster introduces several modern advancements, including reconstructed battle design and a revamped job system. With newly implemented trophies and share functions, as well as stark visual and sound improvements in true HD for the first time, players both returning and new to the game will experience a grand adventure that spans the world of Ivalice in an entirely fresh and improved way.

Includes several all-new enhanced gameplay features:
– The Zodiac Job System
– Improved character leveling system that now caters to the player’s preference
– Trial Mode – Take on monsters and enemies in up to 100 consecutive battles
– Speed Mode
– Latest-generation HD graphical capabilities, including characters and movie scenes fully remastered in high definition.
– True 7.1 surround sound, including high definition voicing and newly recorded background music utilizing the current generation of sound production.
– Modern advancements including PlayStation4 trophy support and share functionalities, auto-save and shortened loading times
– An endless amount of gameplay and adventure including Hunts, Battles, and mini-games""",Final Fantasy XII: The Zodiac Age
0,100,0,8,2021-09-24,0.0,2019-09-04,,17.323055555555555,16.843055555555555,14.946388888888889,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/mmtbcuso2p10rrzr2xev.png,Nintendo EAD,Switch,https://images.igdb.com/igdb/image/upload/t_cover_big/co3pdo.png,St. GIGA,,Completed,"The Legend of Zelda: A Link to the Past is a top-down action game with puzzle-solving elements similar to the original The Legend of Zelda. After the side-scrolling and RPG-like gameplay of Zelda II: The Adventure of Link, the game is a return to the top-down view and gameplay style of the first installment. It introduces major new items to the series such as the Master Sword and the concept of two different worlds, which was revisited to some extent in Ocarina of Time with two distinct time periods rather than dark and light worlds.",The Legend of Zelda: A Link to the Past
0,84,0,0,,0.0,2019-04-11,,9.223055555555556,8.198333333333334,7.518888888888889,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/rhfs0vbzhe7jvellemu4.png,Ninja Theory,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2l7l.png,Ninja Theory,,Wishlist,"From the makers of Heavenly Sword, Enslaved: Odyssey to the West, and DmC: Devil May Cry, comes a warrior’s brutal journey into myth and madness.

Set in the Viking age, a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.

Created in collaboration with neuroscientists and people who experience psychosis, Hellblade: Senua’s Sacrifice will pull you deep into Senua’s mind.",Hellblade: Senua's Sacrifice
84,79,0,7,2021-09-24,4.733333333333333,2018-12-17,,5.147777777777778,4.658333333333333,4.061388888888889,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/bwpqwqxuiwc164v2kt73.png,Campo Santo,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1m35.png,Panic,,Completed,"Firewatch is a single-player first-person video game where you, as a man named Henry, explore the Wyoming wilderness after taking a summer job as a fire lookout. What is supposed to be a peaceful respite from your complicated life takes a turn when you start to question some of the things that are happening to you.

Your only human connection is over a handheld radio, which you’ll use to speak with your supervisor Delilah about the things both of you are experiencing.",Firewatch
100,97,2,10,2022-02-01,64.0,2017-03-03,2022-01-18,189.78416666666666,97.85527777777777,50.11138888888889,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/vbs1btl6ts17zeos4g5v.png,Nintendo EPD Production Group No. 3,Switch,https://images.igdb.com/igdb/image/upload/t_original/co3p2d.png,Nintendo,,Completed,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.",The Legend of Zelda: Breath of the Wild
100,79,2,10,2021-08-23,5.516666666666667,2019-09-03,2021-07-25,79.74083333333333,53.6475,39.905277777777776,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/sc6x4q.png,Square,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2z8z.png,Square Enix,,Completed,"Final Fantasy VIII Remastered retains its original 4:3 aspect ratio in both FMVs and real-time graphic rendering, but enhance visuals with several characters, enemies, GF, and objects refined to look better. The music is unchanged from the original PlayStation version.",Final Fantasy VIII Remastered
0,0,0,0,,0.0,2023-08-29,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/scf2ra.png,Sabotage,Switch,https://images.igdb.com/igdb/image/upload/t_original/co215b.png,Sabotage,,Wishlist,"Sea of Stars is a turn-based RPG inspired by the classics. Promising the Sabotage touch in every system, Sea of Stars aims to modernize the classic RPG in terms of turn-based combat, storytelling, exploration and interactions with the environment, while still offering a hearty slice of nostalgia and good old, simple fun.",Sea of Stars
100,94,2,9,2023-04-09,21.416666666666668,2022-10-21,2023-02-25,142.9363888888889,123.30472222222222,101.40638888888888,https://images.igdb.com/igdb/image/upload/t_original/sc6vps.png,Atlus,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1nic.png,Atlus USA,,Completed,An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,Persona 5 Royal
0,82,0,0,,10.233333333333333,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/xmzvjq9xfe99vnz0nihs.png,United Front Games,,https://images.igdb.com/igdb/image/upload/t_original/co2e3z.png,Bandai Namco Entertainment,,Backlog,"Wei Shen, an young officer working for the San Francisco Police Department gets tasked to go back to his hometown of Hong Kong. In Hong Kong Wei is assigned to the Hong Kong Police Department, in a effort to take down the ""Sun on Yee"" Wei goes undercover in the triad to gather information and take them down, But the police soon become worried that he is getting attached to his ""Friends"" such as Jackie Ma. In this journey of Betrayal and High stakes, Will Wei become a ""Red Pole"" and join the high ranks of the Triads or be discovered by them and buried alive?",Sleeping Dogs
1,0,0,0,,0.26666666666666666,,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/sc9j2n.png,Bugbear Entertainment,,https://images.igdb.com/igdb/image/upload/t_original/co2ysl.png,THQ Nordic,,Backlog,"Wreckfest is a demolition derby themed racing game with soft-body damage modeling, sophisticated driving dynamics and in-depth vehicle upgrading, featuring both demolition derbies and more traditional track races. It’s all about fun, breakneck racing and over-the-top crashes.",Wreckfest
