Completion %,Critic Rating,Format,My Rating,Date Finished,Hours Played,Release Date,Date Started,HLTB Complete,HLTB Extras,HLTB Story,Banner URL,Developer,Platform,Poster URL,Publisher,Review,Status,Summary,Title
0,87,0,0,,0.0,2019-04-30,,103.89361111111111,62.066944444444445,40.56527777777778,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/vut5ddhxfdgv18vao4ek.png,Virtuos,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2g6o.png,Square Enix,,C Play Later,"""FINAL FANTASY XII THE ZODIAC AGE improves upon the 2006 classic FINAL FANTASY XII, now more beautiful and easier to play than ever. The high-definition remaster introduces several modern advancements, including reconstructed battle design and a revamped job system. With newly implemented trophies and share functions, as well as stark visual and sound improvements in true HD for the first time, players both returning and new to the game will experience a grand adventure that spans the world of Ivalice in an entirely fresh and improved way.

Includes several all-new enhanced gameplay features:
– The Zodiac Job System
– Improved character leveling system that now caters to the player’s preference
– Trial Mode – Take on monsters and enemies in up to 100 consecutive battles
– Speed Mode
– Latest-generation HD graphical capabilities, including characters and movie scenes fully remastered in high definition.
– True 7.1 surround sound, including high definition voicing and newly recorded background music utilizing the current generation of sound production.
– Modern advancements including PlayStation4 trophy support and share functionalities, auto-save and shortened loading times
– An endless amount of gameplay and adventure including Hunts, Battles, and mini-games""",Final Fantasy XII: The Zodiac Age
0,100,0,8,2021-09-24,0.0,2019-09-04,,17.308055555555555,16.840833333333332,14.945555555555556,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/mmtbcuso2p10rrzr2xev.png,Nintendo EAD,Switch,https://images.igdb.com/igdb/image/upload/t_cover_big/co3pdo.png,St. GIGA,,Finished,"The Legend of Zelda: A Link to the Past is a top-down action game with puzzle-solving elements similar to the original The Legend of Zelda. After the side-scrolling and RPG-like gameplay of Zelda II: The Adventure of Link, the game is a return to the top-down view and gameplay style of the first installment. It introduces major new items to the series such as the Master Sword and the concept of two different worlds, which was revisited to some extent in Ocarina of Time with two distinct time periods rather than dark and light worlds.",The Legend of Zelda: A Link to the Past
0,84,0,0,,0.0,2019-04-11,,9.223055555555556,8.198333333333334,7.518888888888889,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/rhfs0vbzhe7jvellemu4.png,Ninja Theory,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2l7l.png,Ninja Theory,,Wanted,"From the makers of Heavenly Sword, Enslaved: Odyssey to the West, and DmC: Devil May Cry, comes a warrior’s brutal journey into myth and madness.

Set in the Viking age, a broken Celtic warrior embarks on a haunting vision quest into Viking Hell to fight for the soul of her dead lover.

Created in collaboration with neuroscientists and people who experience psychosis, Hellblade: Senua’s Sacrifice will pull you deep into Senua’s mind.",Hellblade: Senua's Sacrifice
84,79,0,6,2021-09-24,4.733333333333333,2018-12-17,,5.152777777777778,4.656666666666666,4.0625,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/bwpqwqxuiwc164v2kt73.png,Campo Santo,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1m35.png,Panic,,Finished,"Firewatch is a single-player first-person video game where you, as a man named Henry, explore the Wyoming wilderness after taking a summer job as a fire lookout. What is supposed to be a peaceful respite from your complicated life takes a turn when you start to question some of the things that are happening to you.

Your only human connection is over a handheld radio, which you’ll use to speak with your supervisor Delilah about the things both of you are experiencing.",Firewatch
100,97,2,10,2022-02-01,64.0,2017-03-03,2022-01-18,189.78305555555556,97.81444444444445,50.11611111111111,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/vbs1btl6ts17zeos4g5v.png,Nintendo EPD Production Group No. 3,Switch,https://images.igdb.com/igdb/image/upload/t_original/co3p2d.png,Nintendo,,Completed,"The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time.",The Legend of Zelda: Breath of the Wild
100,79,2,10,2021-08-23,5.516666666666667,2019-09-03,2021-07-25,79.75611111111111,53.631388888888885,39.89083333333333,https://images.igdb.com/igdb/image/upload/t_screenshot_huge/sc6x4q.png,Square,Switch,https://images.igdb.com/igdb/image/upload/t_original/co2z8z.png,Square Enix,,Completed,"Final Fantasy VIII Remastered retains its original 4:3 aspect ratio in both FMVs and real-time graphic rendering, but enhance visuals with several characters, enemies, GF, and objects refined to look better. The music is unchanged from the original PlayStation version.",Final Fantasy VIII Remastered
0,0,0,0,,0.0,2023-08-29,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/scf2ra.png,Sabotage,Switch,https://images.igdb.com/igdb/image/upload/t_original/co215b.png,Sabotage,,Wanted,"Sea of Stars is a turn-based RPG inspired by the classics. Promising the Sabotage touch in every system, Sea of Stars aims to modernize the classic RPG in terms of turn-based combat, storytelling, exploration and interactions with the environment, while still offering a hearty slice of nostalgia and good old, simple fun.",Sea of Stars
100,94,2,10,2023-04-09,21.416666666666668,2022-10-21,2023-02-25,143.1338888888889,123.18305555555555,101.48861111111111,https://images.igdb.com/igdb/image/upload/t_original/sc6vps.png,Atlus,Switch,https://images.igdb.com/igdb/image/upload/t_original/co1nic.png,Atlus USA,,Completed,An enhanced version of Persona 5 with some new characters and a third semester added to the game. Released Internationally in 2020.,Persona 5 Royal
0,80,0,0,,0.2833333333333333,2013-11-15,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/yq7owbqrj09mgfqg3ac3.png,EA Digital Illusions CE,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1nmf.png,Electronic Arts,,Collection,"Battlefield 4 is the genre-defining action blockbuster created by Dice, and made from moments that blur the line between game and glory, moments found only in Battlefield. Go to Boot Camp to learn the basics of Battlefield 4's engaging single player and intense multiplayer mode. Here you'll also find intel on Levolution, Commander Mode, Naval Warfare and many more exciting game features.",Battlefield 4
48,80,0,0,,26.166666666666668,2016-03-22,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/rbzr6uzmstcmopfjsisl.png,Nadeo,PS4,https://images.igdb.com/igdb/image/upload/t_original/co1z4h.png,,,Collection,"Trackmania offers you the ultimate arcade racing universe where everything is about reaching the perfect racing time. Test your skills in over 200 tracks, experience immediate fun by challenging your friends at home (offline splitscreen) or online. The competition lasts forever: design and share your own tracks with other players in the Trackbuilder!",TrackMania Turbo
4,63,0,0,,0.06666666666666667,2017-05-30,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/lpbnzcsu1lg512q6mqet.png,Three Fields Entertainment,PS4,https://images.igdb.com/igdb/image/upload/t_original/co23q3.png,Three Fields Entertainment,,Collection,"Danger Zone is an all new 3D vehicular destruction game, a genre we know well. The concept is simple : crash for cash by creating the biggest car crash.  
  
The Danger Zone is a virtual Crash Testing Facility where players step into the shoes of a dangerous driver and are challenged to survive a variety of spectacular crash testing scenarios.  
  
It’s easy to crash, but can you also grab all of the Bonus Pickups?  
  
Powered by Unreal Engine, Danger Zone combines real physical crashes with explosive gameplay. Shunt vehicles into oncoming traffic, take down trailers to shed their payloads and use your explosive “SmashBreaker” to move your vehicle around. The more explosions you cause, the bigger your score.  
  
If you’re feeling burnt out by congestion and jammed roads, take the highway to the Danger Zone. Take your revenge on rush hour traffic. This place is a paradise for those who like their driving flame-grilled.",Danger Zone
0,79,0,0,,0.0,2015-01-30,,0.0,0.0,0.0,https://images.igdb.com/igdb/image/upload/t_original/t7o715q23arxkeurs799.png,DON'T NOD,PS4,https://images.igdb.com/igdb/image/upload/t_original/co3h8p.png,Square Enix,,Collection,"Max Caulfield, student at Blackwell Academy in Arcadia Bay, Oregon, discovers she can rewind time. The episode revolves around her testing her power and reuniting with her old best friend. The pair set out to find out more about the disappearance of Rachel Amber, the harassment of Kate Marsh and the drug schemes of Nathan Prescott.",Life is Strange: Episode 1 - Chrysalis
